順位	年	真夏日の日数
1	2023	27
2	2012	20
3	1985	19
4	2010	15
5	1999	14
5	1994	14
7	2025	13
8	1984	12
9	2019	11
9	2004	11
11	1990	10
12	1978	9
13	2024	8
13	2007	8
13	2015	8
13	2020	8
17	2002	7
17	2018	7
17	2013	7
17	2021	7
21	2011	6
22	2016	5
22	2014	5
24	1986	4
24	2005	4
24	1992	4
27	1981	3
27	1996	3
27	2006	3
27	1995	3
27	2000	3
32	1983	2
32	1989	2
32	1991	2
32	2003	2
32	1979	2
32	1987	2
32	1988	2
32	2008	2
40	1982	1
40	2017	1
40	1997	1
40	2022	1
44	2009	0
44	2001	0
44	1998	0
44	1980	0
44	1993	0
