îNåéì˙,ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨ÇÃïóå¸,ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm)
1978/03/19,6,1,0.6,3,-2.2,,,êºñkêº,1.7,,
1978/03/20,4,1,2.4,4.9,-0.7,,,êºñkêº,8.2,,
1978/03/21,0,0,1,4.2,-4,,,ñkìå,9.2,,
1978/03/22,8,1,0.8,2.9,-0.8,,,ìÏìÏìå,3.6,,
1978/03/23,9,2,-0.8,1,-2.4,,,êº,6.7,,
1978/03/24,7,2,1.9,5.2,-1.5,,,êº,6.7,,
1978/03/25,0,0,4.9,8.2,-0.7,,,ìÏêº,9.8,,
1978/03/26,0,0,5.1,9.3,-0.4,,,ñkêº,9.7,,
1978/03/27,0,0,2.4,8.7,-2.8,,,êºñkêº,10.9,,
1978/03/28,14,2,2.8,8,-2.1,,,ìÏ,0.9,,
1978/03/29,1,1,1.6,3.4,-2,,,ñkñkìå,9.1,,
1978/03/30,0,0,0.1,4.7,-2.9,,,êº,8.5,,
1978/03/31,3,1,-1.9,1,-3.5,,,ñkìå,7.5,,
1978/04/01,1,1,-1,0.9,-2.5,,,êºñkêº,10.2,,
1978/04/02,0,0,0.6,4,-2.4,,,ñkìå,8.7,,
1978/04/03,28,4,0.4,1.2,-0.2,,,ñkìå,0,,
1978/04/04,24,5,1,3.7,-3.3,,,êºìÏêº,5.7,,
1978/04/05,0,0,0.5,7.3,-6.1,,,êºìÏêº,11.4,,
1978/04/06,7,2,3.5,8.3,-1.6,,,êºñkêº,3.6,,
1978/04/07,6,3,3.4,5.6,2,,,êºñkêº,5.1,,
1978/04/08,5,3,4.5,4.5,4.5,,,êºñkêº,10.1,,
1978/04/09,15,7,,,,,,,6,,
1978/04/10,0,0,3.2,5.3,-0.3,,,ìå,11.6,,
1978/04/11,0,0,1.8,7.3,-3.7,,,ìåñkìå,11.1,,
1978/04/12,0,0,3.3,7.3,1.4,,,ñkìå,5.9,,
1978/04/13,3,1,2.9,4.6,1.7,,,êº,0.1,,
1978/04/14,1,1,3.5,6.9,-0.1,,,ñkñkìå,11.6,,
1978/04/15,0,0,5.7,13.2,0,,,ñkñkìå,10.8,,
1978/04/16,6,2,7.1,13.4,3.3,,,ìÏêº,5.6,,
1978/04/17,0,0,4.8,7.8,-0.2,,,êº,8.1,,
1978/04/18,8,4,3.6,8.6,-1.8,,,ìÏìÏìå,8,,
1978/04/19,6,3,3.3,7.2,0.6,,,ñkñkìå,8.2,,
1978/04/20,5,2,4.1,6.7,1.5,,,êº,6,,
1978/04/21,0,0,6,9,2.3,,,ìÏêº,10.6,,
1978/04/22,0,0,6.2,10.6,-0.2,,,êºìÏêº,12,,
1978/04/23,0,0,4.9,12.1,-2.4,,,êºìÏêº,11.5,,
1978/04/24,0,0,6.3,12.7,3.1,,,êºìÏêº,7.4,,
1978/04/25,7,2,5.5,9.8,3.1,,,êº,0.4,,
1978/04/26,0,0,7.3,11.3,0.6,,,êºñkêº,12,,
1978/04/27,0,0,7,13.6,-0.4,,,êºñkêº,6.5,,
1978/04/28,0,0,8.2,12.7,2.3,,,êºñkêº,8,,
1978/04/29,2,1,6.5,12.7,2.7,,,ñkìå,5,,
1978/04/30,0,0,8.1,16.4,3.4,,,êº,9.6,,
1978/05/01,0,0,10,18.3,4.1,,,ìÏêº,11.5,,
1978/05/02,1,1,8.8,14,4.7,,,êº,6.5,,
1978/05/03,0,0,9.8,16.3,3.9,,,êºìÏêº,12.1,,
1978/05/04,0,0,10,17.3,3.1,,,ìÏêº,12.2,,
1978/05/05,0,0,10.5,17.9,2.3,,,ñkêº,10.9,,
1978/05/06,0,0,6.5,12.1,1.6,,,êºìÏêº,11,,
1978/05/07,0,0,8.6,16.7,1.8,,,ìÏêº,9.1,,
1978/05/08,0,0,9.7,20.2,2.8,,,ìÏìÏêº,8.8,,
1978/05/09,1,1,11.4,21,3.7,,,ìÏêº,9.1,,
1978/05/10,3,2,7.5,8.4,6.6,,,êºìÏêº,0,,
1978/05/11,0,0,7.9,12.4,3.5,,,êºñkêº,2.7,,
1978/05/12,0,0,8.3,14.5,1.1,,,ñkêº,11.9,,
1978/05/13,0,0,9.5,20.5,-0.8,,,ìå,12.5,,
1978/05/14,0,0,11.5,22.4,2.1,,,ìå,12.4,,
1978/05/15,0,0,11.9,23.1,1.2,,,ñkìå,12.5,,
1978/05/16,0,0,13.4,24.2,3.5,,,ñk,12.4,,
1978/05/17,0,0,14.8,25.8,5,,,ìåñkìå,12.3,,
1978/05/18,2,1,14.3,18.7,8.2,,,ìÏêº,2.4,,
1978/05/19,1,1,15.4,19.7,11.4,,,ìÏìÏêº,1.4,,
1978/05/20,0,0,12.4,17.6,7.6,,,ìÏêº,5.8,,
1978/05/21,1,1,10.5,14.6,7,,,ìÏêº,0,,
1978/05/22,0,0,10.8,13.4,7.7,,,êºìÏêº,4.5,,
1978/05/23,0,0,11.6,18.4,4.1,,,ìå,11.3,,
1978/05/24,0,0,11.9,23.4,3,,,ìå,6.2,,
1978/05/25,0,0,13.9,24.4,3.8,,,ìåñkìå,12.5,,
1978/05/26,0,0,16.2,26.3,6.3,,,ìå,12.7,,
1978/05/27,0,0,15.7,22.4,9.4,,,êºìÏêº,4.4,,
1978/05/28,0,0,13.1,21.1,5,,,ñk,10.9,,
1978/05/29,2,1,11.9,19.8,4.7,,,ìåñkìå,9.1,,
1978/05/30,22,5,8.3,11.7,6.4,,,ñkìå,0.1,,
1978/05/31,5,1,8.5,11.9,6.9,,,ìÏêº,0.8,,
1978/06/01,0,0,13.3,17.9,9.2,,,ñkìå,8.9,,
1978/06/02,0,0,13.5,23.2,5,,,ìåñkìå,11.7,,
1978/06/03,0,0,16.9,24.1,7.1,,,ñkìå,10,,
1978/06/04,14,6,15.4,17.8,12.8,,,ìå,0,,
1978/06/05,1,1,14.9,18.1,12.9,,,ìå,4.8,,
1978/06/06,12,5,13.2,17.1,8,,,ìÏêº,8.5,,
1978/06/07,0,0,12.9,19.9,7.3,,,ñkìå,9.9,,
1978/06/08,0,0,15.8,23.7,7,,,ìå,12.4,,
1978/06/09,0,0,19.4,26.9,13.2,,,ñkìå,11,,
1978/06/10,0,0,20.1,29.2,11.9,,,ìåñkìå,9.3,,
1978/06/11,2,1,16.7,18.9,14.4,,,ìå,0,,
1978/06/12,21,11,18.3,26.7,14.2,,,ñkìå,6.3,,
1978/06/13,21,8,17,20.7,13.2,,,ñkìå,1.4,,
1978/06/14,2,1,16.8,20.3,13.1,,,ìå,5,,
1978/06/15,0,0,19.7,25.8,13.2,,,ìåñkìå,9.6,,
1978/06/16,6,3,20.1,23.4,17.1,,,ìå,1.4,,
1978/06/17,1,1,22.4,27.7,18.8,,,êºñkêº,2.9,,
1978/06/18,0,0,21.1,25.2,16.8,,,ñkñkìå,6.7,,
1978/06/19,6,2,21.4,27.4,15.8,,,ìåñkìå,6.8,,
1978/06/20,12,6,22.4,27.2,19.6,,,ìåñkìå,5.2,,
1978/06/21,1,1,21.3,26.3,16.4,,,ñkêº,2.6,,
1978/06/22,20,8,16.6,17.9,15.6,,,ñkìå,0,,
1978/06/23,1,1,17.5,20,14.5,,,ìåñkìå,2.8,,
1978/06/24,0,0,19,24.5,14.3,,,ìåñkìå,6.8,,
1978/06/25,2,1,20.2,24.4,14.9,,,ñk,5.9,,
1978/06/26,117,15,19,20.6,18.1,,,ìåìÏìå,0,,
1978/06/27,52,7,18.4,19.7,16.8,,,ìåñkìå,0,,
1978/06/28,16,8,19.8,25.8,15.5,,,ìåñkìå,7.3,,
1978/06/29,0,0,20.3,26.7,13.6,,,ñkìå,11.3,,
1978/06/30,0,0,20.8,28.2,14.8,,,ñkìå,12.6,,
1978/07/01,11,3,18.2,21.2,13,,,ìÏìÏêº,3.4,,
1978/07/02,0,0,20.4,23.6,17.6,,,ìåñkìå,5.3,,
1978/07/03,33,22,21.2,23.9,18.4,,,ìåìÏìå,0.9,,
1978/07/04,0,0,22.5,24.6,20.6,,,ìåñkìå,1.1,,
1978/07/05,0,0,22.1,26.3,18.4,,,ñkìå,9.7,,
1978/07/06,0,0,22.6,28.9,16.5,,,ñkìå,9.1,,
1978/07/07,1,1,22.3,28.3,16.8,,,ìå,9.2,,
1978/07/08,0,0,23.7,28.6,20.7,,,ìÏ,5.2,,
1978/07/09,0,0,23.9,31,18.7,,,ìå,10.8,,
1978/07/10,0,0,25,31.8,18.7,,,ìåñkìå,10,,
1978/07/11,0,0,24.4,28.8,19,,,ìÏìÏêº,6.2,,
1978/07/12,0,0,24.9,30.8,17.9,,,ìÏìÏêº,10.9,,
1978/07/13,0,0,24.3,28.2,19.3,,,ñkìå,10.8,,
1978/07/14,0,0,23,29.1,17.7,,,ìåñkìå,11.1,,
1978/07/15,0,0,22.4,27.7,16.7,,,ìåñkìå,8.3,,
1978/07/16,0,0,21.9,28,16.2,,,ìåñkìå,10.5,,
1978/07/17,0,0,21.9,28.7,16.3,,,ñkìå,10.4,,
1978/07/18,0,0,21.6,26.1,15.6,,,ñkìå,6.5,,
1978/07/19,0,0,21.6,25.6,18.4,,,ìå,4,,
1978/07/20,0,0,21.7,25.5,16.1,,,ìåñkìå,5,,
1978/07/21,0,0,22.6,26.5,19,,,ìåñkìå,4.5,,
1978/07/22,0,0,23,26.8,19.4,,,ìåñkìå,6.1,,
1978/07/23,0,0,23.9,29,19.4,,,ñkñkêº,11.4,,
1978/07/24,0,0,22.9,29,16.5,,,ñkñkêº,12,,
1978/07/25,0,0,24.1,30.9,16.7,,,ñkñkìå,11.7,,
1978/07/26,0,0,24.7,31.2,19,,,ñkñkìå,10.8,,
1978/07/27,0,0,24.1,30.8,17.3,,,ñkñkìå,12,,
1978/07/28,0,0,24,30.3,18.1,,,ìåñkìå,11.2,,
1978/07/29,0,0,24.4,30.8,19.7,,,ìå,8.3,,
1978/07/30,0,0,25.2,32.1,19.9,,,ñkñkêº,8.7,,
1978/07/31,0,0,23.8,27.3,20.8,,,ìåñkìå,5.3,,
1978/08/01,0,0,24.6,30,18.8,,,ìåñkìå,10.1,,
1978/08/02,0,0,25.9,32.2,18.3,,,ìåñkìå,11.6,,
1978/08/03,1,1,28.3,35.1,21.5,,,ìÏêº,11,,
1978/08/04,0,0,25.8,30.1,18.8,,,ñkêº,8.5,,
1978/08/05,0,0,21.5,27.8,15,,,ñkñkìå,8.2,,
1978/08/06,0,0,22.3,30.3,15.4,,,ñkìå,10.5,,
1978/08/07,0,0,23.1,30.2,14.9,,,ñkñkìå,10.2,,
1978/08/08,3,2,22.7,27.3,20.3,,,ìå,3.3,,
1978/08/09,11,4,22.1,26.8,16.5,,,ñkìå,7.5,,
1978/08/10,0,0,22,27.6,15,,,ìåñkìå,6.8,,
1978/08/11,0,0,23,27.1,18.8,,,ñkêº,0.9,,
1978/08/12,0,0,22.8,29.2,18,,,ñkñkìå,8.3,,
1978/08/13,0,0,23.4,30.4,16.2,,,ñkìå,10.9,,
1978/08/14,0,0,23.9,29.7,18.5,,,êº,6.6,,
1978/08/15,3,1,24,26.8,20.5,,,êºñkêº,0.9,,
1978/08/16,35,15,20.9,22.5,19.8,,,ìÏìå,0.3,,
1978/08/17,88,16,20.9,25.7,18.8,,,ñkìå,1.7,,
1978/08/18,0,0,20.7,23.1,17.2,,,ìåñkìå,4.8,,
1978/08/19,0,0,22.9,28.7,18.1,,,ìåñkìå,9.7,,
1978/08/20,0,0,24.6,30.9,19.2,,,ìåñkìå,8.9,,
1978/08/21,0,0,24.6,30.1,20,,,êº,4.4,,
1978/08/22,6,6,23.7,27.4,18.6,,,êºñkêº,7.5,,
1978/08/23,0,0,24.3,28.2,19.8,,,êº,10.2,,
1978/08/24,3,3,20.6,23.8,15.9,,,êºñkêº,7,,
1978/08/25,0,0,18.1,25,11.8,,,ñkñkêº,10.6,,
1978/08/26,0,0,19.1,25.7,12.4,,,ìå,11.6,,
1978/08/27,0,0,20.2,27.1,13.5,,,ìå,10.9,,
1978/08/28,0,0,20.4,26.8,15.7,,,ñkñkìå,10,,
1978/08/29,0,0,21.1,28.7,14,,,ìå,10.9,,
1978/08/30,7,7,20.7,25.6,16.9,,,ñkñkìå,6.2,,
1978/08/31,0,0,19.7,23,17.5,,,ñkñkìå,4.2,,
1978/09/01,0,0,16.1,18.5,10.4,,,ìåñkìå,0,,
1978/09/02,0,0,16.1,23.2,8,,,ìåìÏìå,11.1,,
1978/09/03,3,1,19.3,22.8,14.7,,,ìÏìÏìå,4.9,,
1978/09/04,13,4,18.2,19.2,16.7,,,ñkñkêº,0.1,,
1978/09/05,17,3,15.1,20.3,10,,,ìÏìÏìå,0.4,,
1978/09/06,5,2,14.1,20.5,7.5,,,ìåñkìå,4.5,,
1978/09/07,0,0,13.8,19.5,7.2,,,ñkñkêº,8.8,,
1978/09/08,0,0,14.6,21.3,5.7,,,ñk,10.5,,
1978/09/09,0,0,17.4,21.1,13.9,,,ìÏ,1.3,,
1978/09/10,4,3,19.9,26.3,15,,,êºñkêº,2.7,,
1978/09/11,0,0,16.2,20.7,9.8,,,ñkêº,6.3,,
1978/09/12,0,0,14.7,18.7,9.3,,,ìÏêº,3.5,,
1978/09/13,0,0,15.9,21.6,11,,,ìåñkìå,5,,
1978/09/14,2,1,16.2,17.8,14.7,,,ìÏìå,0.3,,
1978/09/15,7,2,16.7,19.2,15.1,,,ìåñkìå,0.1,,
1978/09/16,23,9,17.5,19.1,16.3,,,ìå,0,,
1978/09/17,81,21,17.7,19.2,16.7,,,êº,1.6,,
1978/09/18,0,0,17.8,22.9,13.3,,,ñkñkìå,8.7,,
1978/09/19,0,0,18.6,23.5,14.1,,,ìåñkìå,9.5,,
1978/09/20,4,1,16.9,18.5,15.9,,,ñk,0,,
1978/09/21,1,1,16.5,19.7,13.1,,,ìÏìå,2,,
1978/09/22,1,1,14.1,21.3,10,,,ñkñkìå,8.7,,
1978/09/23,0,0,14.2,18.3,10.2,,,ñkìå,1,,
1978/09/24,0,0,16.1,21.4,12.1,,,ìåìÏìå,6.3,,
1978/09/25,0,0,15.1,22.4,9.6,,,ìå,9.5,,
1978/09/26,11,8,14.7,21.6,8.5,,,ìå,3.6,,
1978/09/27,0,0,13.7,18.7,6.2,,,ñkñkêº,10.3,,
1978/09/28,0,0,12.5,17.2,6.4,,,ìå,5.6,,
1978/09/29,39,10,14.1,16,12.1,,,ìÏ,0,,
1978/09/30,4,2,15.9,22.1,9.9,,,ñkñkêº,9.1,,
1978/10/01,0,0,14.9,22.8,8.7,,,ìå,10.2,,
